
make_id,make_name,model_id,model_name
440,ASTONMARTIN, 1684, V8 VANTAGE
440,ASTONMARTIN, 1686, DBS
440,ASTONMARTIN, 1687, DB9
440,ASTONMARTIN, 1688, Rapide
440,ASTONMARTIN, 1695, V12 Vantage
440,ASTONMARTIN, 1697, Virage
440,ASTONMARTIN, 1701, Vanquish
440,ASTONMARTIN, 13751, DB11
440,ASTONMARTIN, 14157, Lagonda
440,ASTONMARTIN, 14162, Vantage
440,ASTONMARTIN, 14164, V8
440,ASTONMARTIN, 19609, Vanquish S
440,ASTONMARTIN, 19610, Vanquish Zagata
440,ASTONMARTIN, 27591, DBX
